numero_cliente;regional;safra_inicio_obras;nps_vistoria;faixa_renda;idade;filhos;sexo;estado_civil;escolaridade;meses_para_entrega;status_assistencia;acionamentos_assistencia;nps_6m;nps_6m_target
2467;GO;2023-2S;Promotor;FAIXA 2;42;1;1;Solteiro(a);Médio Completo;16;Não Solicitou;0;Promotor;2
2468;CE;2023-2S;Promotor;FAIXA 1;28;0;0;Solteiro(a);Médio Completo;20;Procedente;2;Neutro;1
2469;GO;2023-2S;Promotor;FAIXA 1;43;4;4;Solteiro(a);Médio Completo;16;Não Solicitou;0;Promotor;2
2470;GO;2022-1S;Promotor;FAIXA 1;30;0;0;Solteiro(a);Médio Completo;40;Não Solicitou;0;Detrator;0
2471;GO;2022-1S;Detrator;FAIXA 1;33;1;1;Solteiro(a);Superior Incompleto;40;Procedente;1;Detrator;0
2472;GO;2022-1S;Neutro;FAIXA 1;44;1;1;Solteiro(a);Médio Completo;40;Procedente;3;Neutro;1
2473;GO;2022-1S;Promotor;FAIXA 1;36;0;0;Solteiro(a);Médio Completo;40;Não Solicitou;0;Neutro;1
2474;GO;2022-1S;Neutro;FAIXA 1;26;0;0;Solteiro(a);Médio Completo;40;Procedente;4;Detrator;0
2475;GO;2022-1S;Promotor;FAIXA 1;32;1;1;Solteiro(a);Médio Completo;40;Procedente;1;Promotor;2
2476;GO;2022-1S;Promotor;FAIXA 1;28;0;0;Solteiro(a);Médio Completo;40;Não Solicitou;0;Promotor;2
2477;GO;2022-1S;Neutro;FAIXA 1;34;0;0;Casado(a);Médio Completo;40;Procedente;2;Promotor;2
2478;GO;2022-1S;Neutro;FAIXA 1;35;2;2;Solteiro(a);Médio Completo;40;Procedente;5;Detrator;0
2479;GO;2022-1S;Promotor;FAIXA 1;57;0;0;Solteiro(a);Médio Completo;40;Procedente;3;Detrator;0
2480;GO;2022-1S;Promotor;FAIXA 1;53;0;0;Solteiro(a);Fundamental Completo;40;Procedente;1;Detrator;0
2481;GO;2023-1S;Promotor;FAIXA 1;37;0;0;Solteiro(a);Médio Completo;28;Não Solicitou;0;Promotor;2
2482;GO;2023-1S;Neutro;FAIXA 1;56;0;0;Divorciado(a);Médio Completo;28;Procedente;19;Detrator;0
2483;GO;2023-1S;Promotor;FAIXA 1;39;0;0;Solteiro(a);Médio Completo;28;Procedente;2;Promotor;2
2484;GO;2023-1S;Promotor;FAIXA 1;34;0;0;Solteiro(a);Médio Completo;28;Não Solicitou;0;Promotor;2
2485;GO;2023-1S;Promotor;FAIXA 1;50;1;1;Divorciado(a);Médio Incompleto;28;Procedente;1;Promotor;2
2486;GO;2023-1S;Promotor;FAIXA 1;48;0;0;Solteiro(a);Médio Completo;28;Procedente;1;Neutro;1
2487;GO;2023-1S;Neutro;FAIXA 1;27;0;0;Solteiro(a);Médio Completo;28;Procedente;3;Detrator;0
2488;GO;2023-1S;Neutro;FAIXA 1;23;0;0;Solteiro(a);Médio Completo;28;Procedente;1;Neutro;1
